Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1657044129,10,GET,/100,0.500000,0.000000,260,260,320,320,320,320,320,320,320,320,320,4,0,240.0,222.4293999999998,73.27319999999915,324.96320000000003,38059.0
1657044129,10,GET,/300,0.333333,0.000000,100,100,260,260,260,260,260,260,260,260,260,3,0,100.0,142.33733333333348,66.82370000000049,257.4249000000002,45941.0
1657044129,10,GET,/400,0.500000,0.000000,990,990,990,990,990,990,990,990,990,990,990,4,0,550.0,568.4174500000003,124.92240000000088,987.8099,47966.0
1657044129,10,,Aggregated,1.333333,0.000000,100,120,120,990,990,990,990,990,990,990,990,11,0,260.0,326.3999454545455,66.82370000000049,987.8099,43811.181818181816
1657044130,10,GET,/100,0.428571,0.000000,260,260,320,320,320,320,320,320,320,320,320,4,0,240.0,222.4293999999998,73.27319999999915,324.96320000000003,38059.0
1657044130,10,GET,/300,0.285714,0.000000,100,100,260,260,260,260,260,260,260,260,260,3,0,100.0,142.33733333333348,66.82370000000049,257.4249000000002,45941.0
1657044130,10,GET,/400,0.428571,0.000000,120,120,990,990,990,990,990,990,990,990,990,5,0,550.0,467.80808000000013,65.37059999999961,987.8099,47966.0
1657044130,10,,Aggregated,1.142857,0.000000,100,100,120,120,990,990,990,990,990,990,990,12,0,240.0,304.64750000000004,65.37059999999961,987.8099,44157.416666666664
1657044131,10,GET,/100,0.375000,0.000000,240,260,260,320,320,320,320,320,320,320,320,5,0,240.0,190.71015999999972,63.83319999999948,324.96320000000003,38059.0
1657044131,10,GET,/300,0.375000,0.000000,100,100,260,260,260,260,260,260,260,260,260,3,0,100.0,142.33733333333348,66.82370000000049,257.4249000000002,45941.0
1657044131,10,GET,/400,0.375000,0.000000,120,120,990,990,990,990,990,990,990,990,990,6,0,120.0,402.24941666666695,65.37059999999961,987.8099,47966.0
1657044131,10,,Aggregated,1.125000,0.000000,74,100,120,120,990,990,990,990,990,990,990,14,0,120.0,271.00423571428576,63.83319999999948,987.8099,43993.857142857145
1657044132,10,GET,/100,0.375000,0.000000,240,260,260,320,320,320,320,320,320,320,320,5,0,240.0,190.71015999999972,63.83319999999948,324.96320000000003,38059.0
1657044132,10,GET,/300,0.375000,0.000000,100,100,260,260,260,260,260,260,260,260,260,3,0,100.0,142.33733333333348,66.82370000000049,257.4249000000002,45941.0
1657044132,10,GET,/400,0.375000,0.000000,120,120,990,990,990,990,990,990,990,990,990,6,0,120.0,402.24941666666695,65.37059999999961,987.8099,47966.0
1657044132,10,,Aggregated,1.125000,0.000000,74,100,120,120,990,990,990,990,990,990,990,14,0,120.0,271.00423571428576,63.83319999999948,987.8099,43993.857142857145
1657044133,10,GET,/100,0.200000,0.000000,74,240,260,260,320,320,320,320,320,320,320,7,0,74,156.22014285714263,63.83319999999948,324.96320000000003,38059.0
1657044133,10,GET,/300,0.200000,0.000000,100,100,100,100,100,100,100,100,100,100,100,3,0,100.0,142.33733333333348,66.82370000000049,257.4249000000002,45941.0
1657044133,10,GET,/400,0.400000,0.000000,120,120,990,990,990,990,990,990,990,990,990,6,0,120.0,402.24941666666695,65.37059999999961,987.8099,47966.0
1657044133,10,,Aggregated,0.800000,0.000000,73,74,74,100,120,120,120,120,120,120,120,16,0,100.0,245.87809375000003,63.83319999999948,987.8099,43252.0
1657044134,10,GET,/100,0.200000,0.000000,68,73,73,74,74,74,74,74,74,74,74,8,0,73,145.16029999999992,63.83319999999948,324.96320000000003,38059.0
1657044134,10,GET,/300,0.200000,0.000000,100,100,100,100,100,100,100,100,100,100,100,3,0,100.0,142.33733333333348,66.82370000000049,257.4249000000002,45941.0
1657044134,10,GET,/400,0.400000,0.000000,74,74,120,120,120,120,120,120,120,120,120,6,0,120.0,402.24941666666695,65.37059999999961,987.8099,47966.0
1657044134,10,,Aggregated,0.800000,0.000000,73,74,74,100,120,120,120,120,120,120,120,17,0,100.0,235.39946470588242,63.83319999999948,987.8099,42946.529411764706
1657044135,10,GET,/100,0.200000,0.000000,68,73,73,74,74,74,74,74,74,74,74,8,0,73,145.16029999999992,63.83319999999948,324.96320000000003,38059.0
1657044135,10,GET,/300,0.200000,0.000000,100,100,100,100,100,100,100,100,100,100,100,3,0,100.0,142.33733333333348,66.82370000000049,257.4249000000002,45941.0
1657044135,10,GET,/400,0.400000,0.000000,74,74,120,120,120,120,120,120,120,120,120,6,0,120.0,402.24941666666695,65.37059999999961,987.8099,47966.0
1657044135,10,,Aggregated,0.800000,0.000000,73,74,74,100,120,120,120,120,120,120,120,17,0,100.0,235.39946470588242,63.83319999999948,987.8099,42946.529411764706
1657044136,10,GET,/100,0.300000,0.000000,68,73,73,74,74,74,74,74,74,74,74,8,0,73,145.16029999999992,63.83319999999948,324.96320000000003,38059.0
1657044136,10,GET,/300,0.200000,0.000000,67,67,67,67,67,67,67,67,67,67,67,3,0,100.0,142.33733333333348,66.82370000000049,257.4249000000002,45941.0
1657044136,10,GET,/400,0.300000,0.000000,74,74,120,120,120,120,120,120,120,120,120,7,0,120.0,354.30382857142877,65.37059999999961,987.8099,47966.0
1657044136,10,,Aggregated,0.800000,0.000000,68,73,74,74,120,120,120,120,120,120,120,18,0,74,226.02340000000007,63.83319999999948,987.8099,43225.38888888889
1657044137,10,GET,/100,0.500000,0.000000,68,73,73,74,74,74,74,74,74,74,74,8,0,73,145.16029999999992,63.83319999999948,324.96320000000003,38059.0
1657044137,10,GET,/300,0.200000,0.000000,67,67,67,67,67,67,67,67,67,67,67,3,0,100.0,142.33733333333348,66.82370000000049,257.4249000000002,45941.0
1657044137,10,GET,/400,0.300000,0.000000,74,74,74,120,120,120,120,120,120,120,120,8,0,74,319.2139875000005,65.37059999999961,987.8099,47966.0
1657044137,10,,Aggregated,1.000000,0.000000,73,74,74,74,120,120,120,120,120,120,120,19,0,74,218.00033157894757,63.83319999999948,987.8099,43474.89473684211
1657044138,10,GET,/100,0.500000,0.000000,68,73,73,74,74,74,74,74,74,74,74,8,0,73,145.16029999999992,63.83319999999948,324.96320000000003,38059.0
1657044138,10,GET,/300,0.200000,0.000000,67,67,67,67,67,67,67,67,67,67,67,3,0,100.0,142.33733333333348,66.82370000000049,257.4249000000002,45941.0
1657044138,10,GET,/400,0.300000,0.000000,74,74,74,74,74,74,74,74,74,74,74,8,0,74,319.2139875000005,65.37059999999961,987.8099,47966.0
1657044138,10,,Aggregated,1.000000,0.000000,68,74,74,74,74,74,74,74,74,74,74,19,0,74,218.00033157894757,63.83319999999948,987.8099,43474.89473684211
1657044139,10,GET,/100,0.500000,0.000000,68,70,70,74,74,74,74,74,74,74,74,9,0,73,136.8217000000001,63.83319999999948,324.96320000000003,38059.0
1657044139,10,GET,/300,0.100000,0.000000,67,67,67,67,67,67,67,67,67,67,67,3,0,100.0,142.33733333333348,66.82370000000049,257.4249000000002,45941.0
1657044139,10,GET,/400,0.500000,0.000000,74,74,74,74,74,74,74,74,74,74,74,9,0,74,290.8301888888893,63.7597999999997,987.8099,47966.0
1657044139,10,,Aggregated,1.100000,0.000000,68,70,74,74,74,74,74,74,74,74,74,21,0,74,203.61328571428598,63.7597999999997,987.8099,43430.857142857145
1657044140,10,GET,/100,0.500000,0.000000,68,70,70,74,74,74,74,74,74,74,74,9,0,73,136.8217000000001,63.83319999999948,324.96320000000003,38059.0
1657044140,10,GET,/300,0.000000,0.000000,67,67,67,67,67,67,67,67,67,67,67,4,0,67,123.13592500000037,65.53170000000108,257.4249000000002,45941.0
1657044140,10,GET,/400,0.500000,0.000000,74,74,74,74,74,74,74,74,74,74,74,9,0,74,290.8301888888893,63.7597999999997,987.8099,47966.0
1657044140,10,,Aggregated,1.000000,0.000000,68,70,74,74,74,74,74,74,74,74,74,22,0,74,197.3368500000003,63.7597999999997,987.8099,43544.954545454544
