Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/100,15,0,74,118.98869333333256,62.71239999999523,324.96320000000003,38059.0,0.30571077503979116,0.0,74,78,180,240,260,320,320,320,320,320,320
GET,/300,13,0,67,91.1695923076925,63.090700000000055,257.4249000000002,45941.0,0.264949338367819,0.0,67,75,96,100,130,260,260,260,260,260,260
GET,/400,21,0,70,171.33891904761919,63.7597999999997,987.8099,47966.0,0.4279950850557076,0.0,70,74,80,120,550,610,990,990,990,990,990
,Aggregated,49,0,70,134.04392653061208,62.71239999999523,987.8099,44396.0,0.9986551984633177,0.0,70,75,96,130,260,550,990,990,990,990,990
